patch_id,label
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_28_55,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,"Land principally occupied by agriculture, with significant areas of natural vegetation"
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_69,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_33_70,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,"Land principally occupied by agriculture, with significant areas of natural vegetation"
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_69,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_70,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_34_71,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_69,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_70,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,Complex cultivation patterns
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_35_71,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_36_69,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_36_69,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_36_69,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_88,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_89,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_37_90,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Industrial or commercial units
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_87,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_88,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_89,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,Coniferous forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,Mixed forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_38_90,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Broad-leaved forest
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Industrial or commercial units
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,"Land principally occupied by agriculture, with significant areas of natural vegetation"
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_86,Urban fabric
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,Arable land
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,Industrial or commercial units
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,Inland waters
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,"Land principally occupied by agriculture, with significant areas of natural vegetation"
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,Pastures
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_39_87,Urban fabric
